species	WGS_kraken2_kraken2_standard_ONT_ZMB1	WGS_kraken2_kraken2_standard_NovaSeq_ZMB1	WGS_kraken2_kraken2_standard_MySeq_ZHMW4	WGS_kraken2_kraken2_standard_MySeq_ZHMW3	WGS_kraken2_kraken2_standard_MySeq_ZHMW2	WGS_kraken2_kraken2_standard_MySeq_ZHMW1	WGS_kraken2_kraken2_standard_MySeq_Q4	WGS_kraken2_kraken2_standard_MySeq_Q3	WGS_kraken2_kraken2_standard_MySeq_Q2	WGS_kraken2_kraken2_standard_MySeq_Q1	WGS_kraken2_kraken2_standard_MySeq_MN4	WGS_kraken2_kraken2_standard_MySeq_MN3	WGS_kraken2_kraken2_standard_MySeq_MN2	WGS_kraken2_kraken2_standard_MySeq_MN1	WGS_kraken2_kraken2_standard_MySeq_I4	WGS_kraken2_kraken2_standard_MySeq_I3	WGS_kraken2_kraken2_standard_MySeq_I2	WGS_kraken2_kraken2_standard_MySeq_I1
Mycolicibacterium_smegmatis	7	12	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
Mycolicibacterium_sp._HK-90	7	70	1	1	2	1	0	0	0	0	2	3	3	5	3	3	3	0
Mycolicibacterium_sp._MU0053	4	3	2	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1
Mycolicibacterium_sp._TUM20985	0	6	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1
Mycolicibacterium_sp._YH-1	2	12	1	0	0	1	0	0	0	0	0	2	0	1	0	0	0	0
Mycolicibacterium_thermoresistibile	2	12	1	0	1	3	1	0	0	0	0	0	0	2	0	0	0	0
Mycolicibacterium_vaccae	8	15	1	0	3	0	0	0	0	0	4	5	0	8	2	1	3	1
Mycoplasma_anserisalpingitidis	2	30	1	2	5	2	4	2	4	7	3	1	9	2	4	2	8	7
Mycoplasma_capricolum	0	1	0	0	5	0	2	5	3	2	1	2	3	1	2	3	4	2
Mycoplasma_cottewii	0	1	1	0	1	0	0	1	0	0	2	1	2	2	3	5	8	0
Mycoplasma_crocodyli	5	4	0	1	0	1	0	1	0	0	5	3	9	8	4	3	7	5
Mycoplasma_feriruminatoris	3	10	2	4	1	1	2	4	5	2	4	1	7	4	3	5	14	8
Mycoplasma_iguanae	58	22	0	1	1	0	2	5	1	4	3	1	3	1	0	0	4	1
Mycoplasma_leachii	0	2	0	1	1	3	0	0	0	0	0	0	5	1	1	0	4	0
Mycoplasma_miroungigenitalium	2	0	0	0	0	1	2	3	1	1	1	0	1	0	0	0	0	0
Mycoplasma_miroungirhinis	5	0	0	0	0	0	2	5	1	3	0	2	0	0	0	0	3	1
Mycoplasma_mycoides	8	0	0	2	1	0	1	4	1	0	4	3	3	2	1	3	7	5
Mycoplasma_nasistruthionis	4	1	0	0	0	0	0	0	0	0	0	0	1	4	1	0	0	1
Mycoplasma_putrefaciens	11	18	3	5	4	6	1	1	0	0	0	2	3	4	1	3	6	3
Mycoplasma_seminis	3	1	1	2	0	0	0	2	3	2	1	0	1	2	0	4	2	0
Mycoplasma_sp._1018B	4	47	1	3	4	0	0	0	0	0	7	8	10	22	7	13	14	4
Mycoplasma_sp._1654_15	5	3	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1
Mycoplasma_sp._E35C	1	0	0	0	0	0	0	2	2	0	0	1	2	3	0	0	0	0
Mycoplasma_sp._Ms02	0	4	1	0	0	0	0	0	1	0	0	2	1	0	0	3	3	2
Mycoplasma_sp._OR1901	2	1	0	0	0	0	0	0	0	2	0	0	1	2	0	0	2	2
Mycoplasma_sp._SG1	6	7	0	0	2	0	0	0	0	0	1	0	2	1	3	1	4	1
Mycoplasma_struthionis	0	23	5	2	4	5	0	0	0	1	1	1	3	10	3	3	5	3
Mycoplasma_suis	0	0	0	0	0	0	1	0	1	0	0	0	2	2	2	0	2	0
Mycoplasma_tauri	4	9	0	0	0	0	0	1	0	0	2	2	3	2	1	0	3	3
Mycoplasma_yeatsii	38	20	1	1	1	0	1	0	0	1	1	3	2	2	1	0	2	0
Mycoplasmoides_fastidiosum	2	5	0	2	2	2	2	9	6	4	1	1	7	2	2	3	9	1
Mycoplasmoides_pneumoniae	1	0	0	1	1	0	0	1	0	1	1	0	1	0	1	1	1	0
Mycoplasmopsis_agalactiae	5	1	1	0	0	0	1	2	2	0	0	1	1	1	1	1	1	0
Mycoplasmopsis_anatis	30	18	1	1	4	0	0	0	0	0	3	4	4	11	2	2	2	4
Mycoplasmopsis_arginini	2	0	1	0	0	3	0	5	6	9	3	4	3	2	2	4	5	2
Mycoplasmopsis_bovigenitalium	4	10	3	2	1	1	2	1	1	0	2	1	5	4	4	2	4	1
Mycoplasmopsis_bovirhinis	0	0	1	0	1	0	0	0	3	1	0	0	1	2	1	0	1	1
Mycoplasmopsis_bovis	4	2	0	1	1	1	7	2	2	1	1	7	1	7	2	3	11	5
Mycoplasmopsis_californica	0	0	1	1	0	0	0	0	0	0	0	2	1	0	1	0	5	2
Mycoplasmopsis_canis	3	2	1	0	0	0	1	3	3	0	1	0	2	0	1	3	3	0
Mycoplasmopsis_caviae	1	1	0	1	1	0	0	0	0	1	0	0	2	4	0	2	3	0
Mycoplasmopsis_citelli	0	0	0	0	2	1	0	0	0	1	5	5	4	8	9	10	10	4
Mycoplasmopsis_columbina	2	13	0	0	0	1	0	1	1	2	2	1	2	1	1	0	2	6
Mycoplasmopsis_columboralis	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	4	6	0
Mycoplasmopsis_cynos	27	15	1	0	0	0	0	1	0	0	1	0	5	3	1	2	4	1
Mycoplasmopsis_edwardii	3	6	0	2	1	0	3	5	3	4	0	1	0	5	1	0	8	3
Mycoplasmopsis_felis	6	3	1	0	1	1	0	0	2	0	1	1	1	6	1	0	3	1
Mycoplasmopsis_gallinacea	16	26	1	0	1	4	4	4	1	3	1	0	2	1	1	3	1	0
Mycoplasmopsis_gallopavonis	1	2	1	1	0	0	1	0	1	0	0	1	1	0	1	3	2	0
Mycoplasmopsis_maculosa	1	6	1	0	1	0	0	0	0	0	2	1	4	1	3	3	6	4
Mycoplasmopsis_meleagridis	0	0	0	0	0	0	0	0	0	0	5	3	2	7	5	6	14	7
Mycoplasmopsis_phocirhinis	1	0	0	0	0	0	2	6	1	0	0	0	0	0	0	0	1	0
Mycoplasmopsis_pullorum	0	2	1	2	1	1	0	0	0	1	1	0	2	5	8	1	8	5
Mycoplasmopsis_pulmonis	0	1	0	0	1	1	2	2	2	2	1	1	1	1	0	1	0	1
Mycoplasmopsis_synoviae	1	1	0	0	0	0	0	0	0	0	2	2	6	3	1	3	2	4
Mycoplasmopsis_verecunda	6	2	1	3	2	0	5	9	15	9	3	0	6	2	2	4	13	4
Myroides_albus	8	4	0	0	0	0	0	2	0	0	0	1	0	0	0	1	1	0
Myroides_fluvii	43	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Myroides_odoratimimus	0	1	0	4	1	8	13	16	10	10	2	1	6	1	2	5	7	4
Myroides_odoratus	53	28	2	2	1	0	0	1	1	0	4	2	3	7	2	4	7	2
Myroides_phaeus	8	17	2	1	1	0	2	3	1	6	2	0	0	2	1	2	5	0
Myroides_profundi	5	3	1	1	0	1	0	1	0	1	0	0	0	0	0	1	2	1
Myroides_sp._A21	1	5	0	0	0	1	0	4	1	2	0	1	0	2	1	0	1	0
Myroides_sp._ZB35	1	11	3	4	1	3	4	7	11	13	2	3	6	6	2	2	7	2
Mythimna_separata_entomopoxvirus	2	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Myxococcus_hansupus	1	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Myxococcus_landrumus	6	38	0	0	0	0	0	1	0	0	0	0	2	1	0	0	0	0
Myxococcus_sp._SDU36	2	8	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Myxococcus_stipitatus	4	39	3	2	3	6	0	0	0	0	5	4	2	19	2	5	8	3
Myxococcus_xanthus	7	4	0	1	0	1	0	0	0	0	0	1	1	1	1	2	0	0
Naasia_aerilata	2	37	2	2	2	1	0	0	0	0	1	4	1	2	4	0	2	0
Nakamurella_multipartita	28	97	4	0	1	3	0	0	1	0	2	12	1	7	0	2	8	1
Nakamurella_panacisegetis	2	2	0	0	0	0	0	0	0	0	1	2	1	3	0	0	0	1
Nakamurella_sp._PAMC28650	4	8	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0
Nanchangia_anserum	9	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nannocystis_poenicansa	42	176	7	11	11	7	0	0	0	0	9	8	11	31	8	12	21	6
Nanobdella_aerobiophila	8	0	0	0	0	0	0	1	0	0	1	0	1	4	1	0	2	0
Natranaerobius_thermophilus	19	57	1	2	5	4	0	1	1	0	10	11	17	16	4	10	16	3
Natranaerofaba_carboxydovora	18	14	5	2	1	2	0	5	0	4	4	2	9	16	5	7	8	6
Natrarchaeobaculum_sulfurireducens	0	7	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	1
Natrialbaceae_archaeon_AArc-T1-2	0	0	0	1	0	1	1	1	3	1	0	0	1	0	1	0	0	0
Natribaculum_luteum	1	8	0	0	0	0	0	0	0	0	1	1	0	2	0	0	2	1
Natrinema_caseinilyticum	40	66	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Natrinema_halophilum	4	3	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
Natrinema_sp._J7-2	3	0	1	2	4	2	3	0	1	1	1	3	3	4	0	1	5	2
Natrinema_thermotolerans	0	4	0	0	0	1	0	0	0	0	0	1	2	3	1	1	2	3
Natronobacterium_gregoryi	2	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Natronomonas_halophila	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Natronomonas_marina	2	4	1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0
Natronomonas_salina	4	22	3	2	8	7	0	0	0	0	6	9	7	27	8	8	19	6
Natronosporangium_hydrolyticum	6	21	6	1	2	4	0	0	0	0	0	0	2	12	2	2	2	0
Nautilia_profundicola	8	3	1	1	3	1	1	0	2	0	2	1	3	1	1	1	0	1
Nautilia_sp._PV-1	4	8	0	0	0	0	3	0	0	0	0	1	0	1	0	0	0	1
Ndongobacter_massiliensis	84	151	3	8	14	8	2	1	0	0	10	8	14	28	5	8	21	8
Neisseria_animalis	7	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Neisseria_animaloris	10	5	0	0	1	2	0	0	1	2	3	1	3	3	3	2	0	1
Neisseria_arctica	1	11	0	0	0	0	0	1	2	0	0	0	1	0	0	0	1	0
Neisseria_brasiliensis	3	2	0	0	0	1	5	6	3	3	0	0	0	0	0	0	0	1
Neisseria_canis	34	17	3	3	2	6	3	1	2	1	3	1	0	6	1	3	3	3
Neisseria_chenwenguii	6	5	7	9	11	14	4	1	1	1	1	5	4	3	2	0	11	5
Neisseria_dentiae	11	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0	1
Neisseria_elongata	2	1	0	0	0	2	0	0	1	2	0	1	2	2	1	0	1	0
Neisseria_gonorrhoeae	3	1	0	0	0	0	6	3	1	2	0	0	1	0	1	0	1	0
Neisseria_lactamica	1	32	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0
Neisseria_lisongii	0	11	0	1	1	1	1	0	2	0	0	0	0	1	0	0	0	1
Neisseria_meningitidis	2	1	0	1	1	0	2	1	0	1	0	1	0	0	0	0	1	1
Neisseria_perflava	0	0	0	3	3	1	0	0	0	0	1	2	1	5	0	0	2	1
Neisseria_shayeganii	5	3	1	0	0	0	0	2	0	0	0	3	3	2	0	1	0	1
Neisseria_sicca	1	2	0	0	0	0	0	0	0	0	0	0	2	3	1	0	2	2
Neisseria_sp._KEM232	4	10	0	0	1	2	1	0	1	0	0	0	0	0	0	0	0	0
Neisseria_sp._oral_taxon_014	6	18	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0
Neisseria_subflava	11	3	0	1	0	2	1	5	2	0	0	0	2	2	2	1	2	0
Neisseria_wadsworthii	9	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Neisseria_yangbaofengii	12	2	2	0	0	3	0	1	2	1	1	2	1	3	2	1	3	1
Neisseria_zalophi	1	4	0	0	0	0	3	2	0	2	0	1	0	0	0	0	1	0
Neisseria_zoodegmatis	1	2	0	1	2	1	1	0	1	5	0	1	2	0	3	2	3	0
Neoasaia_chiangmaiensis	4	13	0	0	1	0	0	1	0	0	1	1	1	1	0	0	0	0
Neobacillus_cucumis	32	83	4	4	7	6	3	1	2	0	14	18	26	38	11	15	41	16
Neobacillus_drentensis	61	51	12	16	13	15	3	3	0	4	13	11	22	36	21	23	45	29
Neobacillus_mesonae	26	63	9	2	2	4	0	1	1	0	5	6	7	13	7	5	14	7
Neobacillus_novalis	33	24	1	1	0	3	2	8	2	7	1	2	5	9	4	4	11	2
Neobacillus_sp._114	65	30	0	0	2	2	0	0	1	0	3	0	6	5	4	3	4	0
Neobacillus_sp._DY30	6	10	3	3	0	0	2	0	2	1	1	2	6	2	0	2	4	0
Neobacillus_sp._Marseille-Q6967	56	94	12	10	8	3	2	0	2	1	14	11	22	29	11	11	26	12
Neobacillus_sp._OS1-2	24	25	2	2	1	3	0	0	1	0	7	1	7	7	6	4	16	8
Neobacillus_sp._OS1-32	44	92	3	2	2	3	0	2	0	0	4	4	10	17	6	5	10	8
Neobacillus_sp._OS1-33	24	59	12	5	7	9	2	5	2	4	13	7	15	17	16	9	32	15
Neobacillus_sp._PS2-9	42	146	11	27	17	24	3	2	2	1	20	13	20	47	26	21	77	30
Neobacillus_sp._PS3-12	187	158	14	13	24	20	8	9	7	11	27	30	46	62	38	48	80	41
Neobacillus_sp._PS3-34	47	39	8	10	12	18	2	6	5	5	6	9	17	10	8	2	15	8
Neobacillus_sp._PS3-40	17	95	8	14	13	11	1	2	3	1	13	14	21	40	11	28	55	20
Neobacillus_sp._SuZ13	17	60	7	8	11	6	4	6	3	5	9	9	14	28	10	5	25	15
Neobacillus_sp._WH10	77	93	14	13	9	7	2	0	1	1	10	13	13	21	10	16	31	12
Neobacillus_sp._YX16	45	56	7	16	10	20	10	14	8	7	12	9	17	25	9	14	30	8
Neochlamydia_sp._S13	4	1	1	0	1	0	0	0	0	0	2	4	2	11	2	2	4	1
Neoehrlichia_mikurensis	4	1	1	0	3	2	1	7	0	0	3	3	6	14	5	6	16	9
Neokomagataea_tanensis	12	9	1	2	0	1	0	0	0	0	0	3	0	2	0	0	2	2
Neomicrococcus_aestuarii	2	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Neopusillimonas_aromaticivorans	6	18	0	0	0	1	3	3	2	2	0	0	1	0	0	2	3	0
Neorhizobium_galegae	8	106	3	5	8	10	0	0	0	1	5	9	5	19	6	2	13	0
Neorhizobium_petrolearium	5	9	1	2	0	2	2	0	1	1	3	1	0	1	1	1	9	0
Neorhizobium_sp._SOG26	1	14	0	0	0	0	1	2	2	2	0	0	0	0	0	0	0	0
Neotabrizicola_shimadae	5	12	1	0	1	0	0	0	0	0	0	2	1	2	0	1	4	1
Neptuniibacter_halophilus	1	14	0	1	1	0	0	1	1	1	1	1	2	4	5	0	1	1
Neptunomonas_concharum	3	2	2	3	0	3	2	1	0	2	1	3	5	6	3	3	6	3
Neptunomonas_japonica	3	2	0	0	2	0	0	1	1	2	1	1	0	1	0	1	0	0
Neptunomonas_phycophila	30	0	1	3	5	5	3	1	3	5	2	1	3	4	2	3	2	1
Nesterenkonia_pannonica	3	56	1	0	1	3	0	0	0	0	0	2	2	10	0	2	2	4
Nesterenkonia_sp._NBAIMH1	1	38	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Niabella_ginsenosidivorans	10	5	0	0	0	1	1	0	0	1	0	2	0	3	0	0	0	0
Niabella_soli	9	0	2	0	4	1	1	0	1	0	1	1	1	2	0	1	2	1
Niallia_circulans	82	100	5	3	4	11	1	4	2	4	19	12	14	32	18	23	30	6
Niallia_sp._Man26	29	55	2	5	3	7	4	13	8	9	4	4	11	6	4	3	14	7
Niallia_sp._RD1	22	25	14	11	5	9	2	5	7	10	13	11	18	32	13	14	45	16
Niallia_taxi	81	50	7	4	8	8	1	1	0	0	13	8	9	27	8	7	21	8
Niastella_koreensis	12	5	2	2	5	0	4	3	2	0	5	3	3	9	2	0	4	5
Nibricoccus_aquaticus	4	50	2	2	2	3	0	6	1	2	5	7	4	15	5	5	12	6
Nicoliella_spurrieriana	7	8	0	1	3	0	0	0	0	0	1	2	2	0	2	1	2	4
Nitratidesulfovibrio_liaohensis	2	9	1	0	1	1	0	0	0	0	0	1	2	4	1	0	2	0
Nitratidesulfovibrio_vulgaris	1	18	1	0	1	0	2	2	0	1	0	0	5	7	0	2	1	0
Nitratifractor_salsuginis	7	25	0	0	0	2	0	0	0	0	0	0	2	1	4	2	3	1
Nitratireductor_rhodophyticola	2	5	0	0	1	0	2	2	0	2	1	0	0	2	0	1	3	0
Nitratireductor_sp._OM-1	4	3	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0
Nitratiruptor_sp._SB155-2	5	1	2	0	0	0	0	1	4	1	0	0	0	1	2	0	0	1
Nitratiruptor_sp._YY09-18	2	4	4	0	2	2	0	3	0	4	4	2	2	8	3	0	5	4
Nitrincola_iocasae	5	3	3	4	6	4	7	2	0	4	0	5	7	4	3	0	5	0
Nitrobacter_hamburgensis	10	60	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0
Nitrobacter_winogradskyi	2	0	3	4	9	5	4	2	1	1	1	1	5	4	1	0	6	3
Nitrogeniibacter_aestuarii	9	111	4	2	1	1	2	4	3	1	1	2	1	5	1	1	6	3
Nitrogeniibacter_mangrovi	2	3	2	0	0	0	1	3	2	1	0	1	1	1	1	0	1	0
Nitrosococcus_wardiae	3	2	1	0	0	0	1	2	0	3	0	1	0	1	0	0	2	0
Nitrosomonas_europaea	2	3	0	0	0	0	0	0	0	0	1	0	3	6	2	0	2	1
Nitrosomonas_eutropha	2	3	0	0	1	0	0	0	0	0	1	2	1	5	0	1	0	0
Nitrosomonas_sp.	1	21	0	2	0	0	0	0	0	0	2	0	0	0	1	0	0	0
Nitrosomonas_ureae	4	4	1	3	3	4	3	7	3	1	5	3	8	6	3	4	4	4
Nitrosophilus_alvini	5	1	0	0	0	0	2	0	1	0	0	0	0	1	0	0	0	0
Nitrosophilus_kaiyonis	12	12	1	0	2	2	3	0	4	5	1	10	7	8	3	7	16	7
Nitrosophilus_labii	127	72	4	4	3	4	1	0	1	0	1	0	2	5	1	1	8	4
Nitrosopumilus_adriaticus	10	9	0	0	0	1	0	0	0	0	1	0	1	2	0	1	1	0
Nitrosopumilus_sp.	2	0	0	2	1	1	0	0	0	0	4	4	2	6	2	5	2	4
Nitrosopumilus_ureiphilus	2	8	0	2	3	0	0	0	0	0	0	0	0	0	2	0	3	0
Nitrosopumilus_zosterae	1	5	1	1	1	2	0	0	1	0	1	0	4	5	0	1	7	2
Nitrosospira_sp._Is2	16	9	0	3	0	0	0	0	0	1	3	3	5	2	1	2	6	3
Nitrosospira_sp._NRS527	2	7	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Nitrospira_japonica	1	2	0	0	1	0	2	2	4	3	0	0	1	1	1	1	0	0
Nitrospirillum_amazonense	6	13	1	0	1	1	0	0	0	0	0	0	0	3	2	0	1	1
Niveispirillum_cyanobacteriorum	4	6	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	1
Nocardia_asteroides	26	91	8	7	8	12	3	0	1	1	18	10	12	26	6	9	24	8
Nocardia_brasiliensis	18	49	3	8	6	2	4	3	1	6	0	2	7	4	0	1	5	2
Nocardia_cyriacigeorgica	15	154	3	4	5	7	0	0	0	0	12	4	15	25	6	10	25	8
Nocardia_farcinica	2	36	4	2	1	3	0	0	0	0	1	2	5	8	4	2	9	2
Nocardia_gipuzkoensis	7	51	2	1	3	3	0	0	0	0	2	1	2	10	0	3	5	3
Nocardia_huaxiensis	0	6	0	0	0	0	2	0	1	0	0	2	0	2	0	0	0	1
Nocardia_mangyaensis	4	32	2	1	3	3	0	0	0	0	2	2	4	15	1	5	13	1
Nocardia_nova	33	80	0	0	0	1	0	0	0	0	0	3	3	6	1	2	3	0
Nocardia_otitidiscaviarum	9	111	0	4	5	2	0	0	0	0	3	2	4	12	0	2	4	6
Nocardia_seriolae	10	44	3	4	3	1	0	0	0	0	4	3	5	15	3	3	12	3
Nocardia_sp._CS682	3	11	7	6	5	7	1	0	1	1	5	3	7	6	2	2	8	2
Nocardia_sp._PE-7	4	41	1	1	1	1	0	0	0	0	0	1	0	3	0	1	5	0
Nocardia_sputorum	2	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nocardia_terpenica	21	156	5	6	5	4	7	0	1	1	6	11	9	26	5	3	14	7
Nocardia_wallacei	5	56	0	0	0	1	0	0	0	0	1	0	1	0	1	0	1	1
Nocardia_yamanashiensis	4	0	1	1	2	0	1	0	0	1	2	0	1	1	1	0	0	2
Nocardia_yunnanensis	1	8	1	1	1	2	0	0	1	1	1	2	0	7	1	1	2	1
Nocardioides_anomalus	5	11	3	0	0	1	0	0	1	0	0	5	2	1	0	1	1	1
Nocardioides_aquaticus	6	6	4	1	0	2	1	0	0	2	4	4	2	1	0	0	0	1
Nocardioides_aromaticivorans	6	23	3	0	0	0	0	0	0	0	0	4	1	0	0	0	1	0
Nocardioides_baekrokdamisoli	2	50	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0
Nocardioides_campestrisoli	5	8	4	0	0	1	0	0	0	0	0	3	0	1	0	0	0	0
Nocardioides_coralli	7	30	6	2	7	3	4	5	2	3	2	4	8	5	2	1	3	1
Nocardioides_cynanchi	8	26	7	5	4	3	1	2	2	1	7	12	4	16	9	6	13	6
Nocardioides_daphniae	8	24	2	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1
Nocardioides_dokdonensis	9	18	3	2	2	2	1	0	0	0	5	2	5	2	1	2	3	4
Nocardioides_dongkuii	4	3	2	1	0	0	1	1	1	0	0	6	1	0	0	0	2	0
Nocardioides_euryhalodurans	25	65	15	0	1	2	0	1	0	1	0	10	1	2	0	0	0	0
Nocardioides_faecalis	5	14	3	0	0	0	0	0	1	0	0	2	1	0	0	0	1	0
Nocardioides_houyundeii	27	6	5	2	5	1	1	0	1	2	1	1	6	3	0	2	2	1
Nocardioides_humi	8	11	3	0	1	4	0	0	0	0	3	5	0	2	0	0	0	0
Nocardioides_jishulii	2	14	2	1	1	0	0	0	0	0	0	0	0	2	0	0	0	1
Nocardioides_marinisabuli	5	12	4	0	1	0	0	0	2	0	0	0	0	2	0	0	0	1
Nocardioides_marmorisolisilvae	19	115	8	9	13	16	10	8	2	3	12	15	14	22	6	7	19	6
Nocardioides_marmotae	7	91	3	0	0	0	0	0	0	0	1	3	0	1	0	0	1	0
Nocardioides_mesophilus	4	18	5	5	3	3	4	1	0	0	2	4	2	1	1	1	3	0
Nocardioides_ochotonae	1	11	1	1	1	0	0	0	0	0	1	2	2	0	0	0	2	1
Nocardioides_okcheonensis	9	39	10	4	4	9	0	0	2	0	8	25	7	19	3	8	18	7
Nocardioides_panacis	5	17	5	0	1	0	0	0	0	0	1	5	1	0	0	0	2	0
Nocardioides_panacisoli	2	3	3	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1
Nocardioides_pantholopis	5	15	5	0	0	1	0	0	0	0	1	5	0	0	0	1	0	0
Nocardioides_piscis	0	8	1	1	1	0	0	0	1	0	0	2	0	0	0	1	0	0
Nocardioides_rotundus	1	10	4	0	0	0	0	0	0	0	1	3	0	2	0	0	1	0
Nocardioides_sambongensis	1	10	4	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
Nocardioides_scoriae	5	12	7	0	0	2	0	0	0	0	0	9	1	1	0	1	1	1
Nocardioides_seonyuensis	1	21	5	1	1	3	0	0	0	0	2	4	4	7	1	1	6	3
Nocardioides_sp._Arc9.136	6	92	3	2	1	4	0	0	0	0	5	0	2	13	3	5	7	3
Nocardioides_sp._B-3	5	32	6	0	0	0	0	0	0	0	0	1	1	1	2	0	1	1
Nocardioides_sp._BP30	8	22	4	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1
Nocardioides_sp._CF8	9	12	11	0	0	0	0	0	1	0	0	5	3	0	2	1	4	2
Nocardioides_sp._cx-173	5	27	4	2	2	6	0	0	1	0	6	3	0	8	1	4	8	0
Nocardioides_sp._dk884	23	152	6	1	0	3	0	0	0	0	2	1	4	9	2	3	4	4
Nocardioides_sp._HDW12B	8	20	13	7	1	7	6	2	0	2	3	6	3	5	0	2	3	0
Nocardioides_sp._HM61	4	14	6	6	2	2	5	0	1	0	2	6	6	7	0	1	3	2
Nocardioides_sp._InS609-2	6	9	2	1	0	0	0	0	0	0	1	8	0	0	1	0	0	1
Nocardioides_sp._JQ2195	7	27	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Nocardioides_sp._JS614	2	14	3	0	1	0	0	0	0	0	1	4	0	1	0	0	1	0
Nocardioides_sp._Kera_G14	14	54	3	9	4	6	0	3	0	1	4	7	4	29	2	5	17	5
Nocardioides_sp._LMS-CY	8	52	11	4	8	11	1	1	0	0	7	7	11	17	6	6	22	8
Nocardioides_sp._QY071	4	7	4	0	1	1	0	0	0	1	0	1	1	1	0	0	1	0
Nocardioides_sp._S-1144	2	23	13	2	1	1	0	0	0	0	2	11	3	2	1	1	4	0
Nocardioides_sp._S-34	6	22	11	0	2	0	0	0	1	0	2	19	2	5	0	0	4	2
Nocardioides_sp._S5	3	30	11	0	0	0	0	0	1	0	1	19	0	4	1	1	5	3
Nocardioides_sp._TF02-7	4	18	5	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0
Nocardioides_sp._W7	7	42	13	5	7	5	0	0	0	0	9	9	8	29	7	5	17	8
Nocardioides_sp._WS12	2	5	2	0	0	1	0	0	1	0	0	2	0	0	0	0	0	0
Nocardioides_sp._zg-1228	7	55	9	0	0	1	0	0	1	0	3	35	2	7	0	2	6	4
Nocardioides_ungokensis	3	9	4	1	0	0	0	0	0	0	0	4	0	1	0	1	2	0
Nocardioides_yefusunii	5	23	0	0	0	0	0	0	0	0	0	1	1	3	0	0	3	0
Nocardiopsis_alba	8	15	0	2	2	2	9	0	1	0	2	2	6	3	1	2	3	0
Nocardiopsis_exhalans	2	9	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Nocardiopsis_gilva	6	7	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Nodularia_sphaerocarpa	1	2	0	1	1	0	0	0	0	0	4	0	1	2	0	0	4	2
Nodularia_spumigena	6	9	6	4	2	6	0	0	1	0	5	5	12	18	9	3	6	0
Nonlabens_dokdonensis	17	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Nonlabens_marinus	14	8	0	0	1	0	0	0	1	0	0	0	1	1	2	0	2	1
Nonlabens_ponticola	1	1	2	7	2	1	2	1	1	0	1	2	0	1	0	0	0	0
Nonlabens_sp._Ci31	0	2	0	0	0	1	0	0	0	0	5	2	1	7	3	2	1	2
Nonlabens_sp._Hel1_33_55	3	5	0	1	3	1	1	0	0	1	0	0	0	0	0	0	2	2
Nonlabens_sp._MB-3u-79	7	2	1	1	1	0	1	0	0	1	0	1	2	1	2	2	4	0
Nonlabens_spongiae	8	42	0	0	0	0	7	2	2	2	0	1	1	3	1	1	3	0
Nonlabens_ulvanivorans	6	5	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
Nonomuraea_coxensis	9	8	2	0	1	0	0	0	0	0	1	0	0	0	0	1	1	0
