species,protein,read_counts
uncultured Roseburia sp.,GTP-dependent nucleic acid-binding protein EngD,1
uncultured Roseburia sp.,endopeptidase Clp ATP-binding chain C,1
uncultured Roseburia sp.,Holliday junction DNA helicase ruvB,1
uncultured Roseburia sp.,lysine decarboxylase,2
uncultured Roseburia sp.,ATP-dependent protease ATP-binding subunit ClpX,1
uncultured Roseburia sp.,F0F1 ATP synthase subunit alpha,1
uncultured Roseburia sp.,GTP-binding protein LepA,1
uncultured Roseburia sp.,carbamoyl phosphate synthase large subunit,2
uncultured Roseburia sp.,sugar ABC transporter ATP-binding protein,1
uncultured Roseburia sp.,putative ATP-binding component of a transport system,1
uncultured Roseburia sp.,5-methyltetrahydropteroyltriglutamate/homocysteine S-methyltransferase,2
uncultured Roseburia sp.,DNA excision repair protein subunit A,1
uncultured Sutterella sp.,imidazole glycerol phosphate synthase subunit HisF,1
uncultured Sutterella sp.,DNA-directed RNA polymerase subunit beta,1
uncultured Sutterella sp.,cytochrome c-type biogenesis protein CcmF,2
uncultured Sutterella sp.,"pyruvate, water dikinase",2
uncultured Sutterella sp.,2-oxoglutarate dehydrogenase E1 component,1
uncultured Sutterella sp.,argininosuccinate synthase,2
uncultured Sutterella sp.,elongation factor Tu,1
uncultured Sutterella sp.,molecular chaperone DnaK,1
uncultured Sutterella sp.,isopropylmalate isomerase large subunit,1
uncultured Sutterella sp.,GTP-dependent nucleic acid-binding protein EngD,1
uncultured Sutterella sp.,ClpB protein,1
Roseburia intestinalis,excinuclease ABC subunit A,1
Roseburia intestinalis,formate--tetrahydrofolate ligase,1
Roseburia intestinalis,phosphoglyceromutase,1
Roseburia intestinalis,gluconate 5-dehydrogenase,1
Roseburia intestinalis,recombinase A,1
Roseburia intestinalis,elongation factor Tu,1
Roseburia intestinalis,lysine decarboxylase,1
Roseburia intestinalis,F0F1 ATP synthase subunit alpha,1
Roseburia intestinalis,UDP-glucose 4-epimerase,1
Roseburia intestinalis,S-adenosylmethionine synthase,1
Roseburia intestinalis,carbamoyl phosphate synthase large subunit,1
Roseburia intestinalis,"type VII secretion system protein EssC, FtsK/SpoIIIE family ATPase",1
Roseburia intestinalis,DNA-binding ATP-dependent protease La,1
Roseburia intestinalis,tRNA uridine 5-carboxymethylaminomethyl modification protein GidA,1
Eisenbergiella massiliensis,UDP-glucose 6-dehydrogenase,1
Eisenbergiella massiliensis,resolvase family site-specific recombinase,11
Eisenbergiella massiliensis,gluconate 5-dehydrogenase,1
uncultured Lachnobacterium sp.,sugar ABC transporter ATP-binding protein,1
uncultured Lachnobacterium sp.,ATP-dependent protease ATP-binding subunit ClpX,1
uncultured Lachnobacterium sp.,lysine decarboxylase,4
uncultured Lachnobacterium sp.,TDP-glucose pyrophosphorylase,1
uncultured Lachnobacterium sp.,"type I restriction-modification system, M subunit",1
uncultured Lachnobacterium sp.,endopeptidase Clp ATP-binding chain C,1
uncultured Lachnobacterium sp.,hypothetical protein lmo2206,1
uncultured Lachnobacterium sp.,transcriptional repressor CodY,1
uncultured Lachnobacterium sp.,putative ATP-binding component of a transport system,1
uncultured Lachnobacterium sp.,CTP synthetase,1
Roseburia hominis,RNA polymerase sigma factor,1
Roseburia hominis,gluconate 5-dehydrogenase,2
Roseburia hominis,4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase,1
Roseburia hominis,ATP-dependent protease ATP-binding subunit ClpX,1
Roseburia hominis,tryptophan synthase subunit beta,1
Roseburia hominis,hypothetical protein SPy_1633,1
Roseburia hominis,resolvase family site-specific recombinase,1
Roseburia hominis,molecular chaperone DnaK,1
Roseburia hominis,S-adenosylmethionine synthase,1
Roseburia hominis,Type III secretion system ATPase,2
Roseburia hominis,glutamate synthase NADPH large chain,1
Ruminococcus faecis,carbamoyl phosphate synthase large subunit,1
Ruminococcus faecis,lysine decarboxylase,1
Ruminococcus faecis,S-adenosylmethionine synthase,1
Ruminococcus faecis,endopeptidase Clp ATP-binding chain C,2
Ruminococcus faecis,hypothetical protein lmo2206,1
Ruminococcus faecis,DNA-directed RNA polymerase subunit beta,1
Ruminococcus faecis,DNA excision repair protein subunit A,1
Ruminococcus faecis,transcriptional repressor CodY,1
Ruminococcus faecis,putative ATP-binding component of a transport system,1
Ruminococcus faecis,preprotein translocase subunit SecA,1
Ruminococcus faecis,polysaccharide biosynthesis protein CpsF,1
Ruminococcus faecis,CTP synthetase,1
Bacteroides faecis,hypothetical protein,1
Bacteroides faecis,catalase,2
Bacteroides faecis,elongation factor Tu,1
Bacteroides faecis,protein disaggregation chaperone,1
Bacteroides faecis,gluconate 5-dehydrogenase,1
Bacteroides faecis,excinuclease ABC subunit A,2
Bacteroides faecis,endopeptidase Clp ATP-binding chain C,1
Bacteroides faecis,molecular chaperone DnaK,1
Bacteroides faecis,UDP-glucose 6-dehydrogenase,1
Bacteroides faecis,UDP-N-acetylglucosamine 2-epimerase,1
Bacteroides massiliensis,glutamate synthase NADPH large chain,1
Bacteroides massiliensis,endopeptidase Clp ATP-binding chain C,2
Bacteroides massiliensis,TDP-glucose pyrophosphorylase,1
Bacteroides massiliensis,dihydroxy-acid dehydratase,2
Bacteroides massiliensis,elongation factor Tu,1
Bacteroides massiliensis,protein disaggregation chaperone,2
Bacteroides massiliensis,gluconate 5-dehydrogenase,2
Bacteroides massiliensis,DNA-directed RNA polymerase subunit beta,1
Alistipes putredinis,alginate o-acetyltransferase AlgI,1
Alistipes putredinis,glutamate dehydrogenase,1
Alistipes putredinis,chaperonin GroEL,1
Alistipes putredinis,S-adenosylmethionine synthase,1
Alistipes putredinis,ATP-dependent protease ATP-binding subunit ClpX,1
Alistipes putredinis,hypothetical protein,1
Alistipes putredinis,"dTDP-glucose 4,6 dehydratase",1
Alistipes putredinis,protein disaggregation chaperone,1
Alistipes putredinis,catalase,2
Alistipes putredinis,DNA excision repair protein subunit A,1
Alistipes putredinis,hypothetical protein lmo2206,1
Parasutterella excrementihominis,carbamoyl phosphate synthase large subunit,1
Parasutterella excrementihominis,alanyl-tRNA synthetase,1
Parasutterella excrementihominis,thioredoxin reductase,1
Parasutterella excrementihominis,DNA-directed RNA polymerase subunit beta,1
Parasutterella excrementihominis,argininosuccinate synthase,2
Parasutterella excrementihominis,elongation factor Tu,1
Parasutterella excrementihominis,protein disaggregation chaperone,1
Parasutterella excrementihominis,preprotein translocase subunit SecA,1
Parasutterella excrementihominis,phosphoribosylformylglycinamidine synthase,1
Parasutterella excrementihominis,phospho-2-dehydro-3-deoxyheptonate aldolase,1
Bifidobacterium pseudocatenulatum,DNA-directed RNA polymerase subunit beta,1
Bifidobacterium pseudocatenulatum,excinuclease ABC subunit A,2
Bifidobacterium pseudocatenulatum,phosphoribosylaminoimidazole synthetase,2
Bifidobacterium pseudocatenulatum,glutamate dehydrogenase,1
Bifidobacterium pseudocatenulatum,protein disaggregation chaperone,1
Bifidobacterium pseudocatenulatum,endopeptidase Clp ATP-binding chain C,2
Bifidobacterium pseudocatenulatum,recombinase A,2
[Ruminococcus] torques,endopeptidase Clp ATP-binding chain C,1
[Ruminococcus] torques,glutamate synthase NADPH large chain,1
[Ruminococcus] torques,molecular chaperone DnaK,1
[Ruminococcus] torques,UDP-glucose 6-dehydrogenase,1
[Ruminococcus] torques,GTP-binding protein LepA,1
[Ruminococcus] torques,ATP-dependent protease ATP-binding subunit ClpX,1
[Ruminococcus] torques,protein disaggregation chaperone,1
[Ruminococcus] torques,ATP-dependent Clp protease proteolytic subunit,2
[Ruminococcus] torques,putative ATP-binding component of a transport system,1
[Ruminococcus] torques,excinuclease ABC subunit A,1
Sutterella wadsworthensis,Mg2+ transporter,1
Sutterella wadsworthensis,transcriptional regulator FleQ,1
Sutterella wadsworthensis,elongation factor Tu,3
Sutterella wadsworthensis,Mg2+ transport protein,1
Sutterella wadsworthensis,carbamoyl phosphate synthase large subunit,1
Sutterella wadsworthensis,possible transferase,3
Sutterella wadsworthensis,phosphoribosylaminoimidazole synthetase,1
Anaerobutyricum hallii,putative ATP-binding component of a transport system,3
Anaerobutyricum hallii,pyruvate kinase,1
Anaerobutyricum hallii,glutamate dehydrogenase,1
Anaerobutyricum hallii,endopeptidase Clp ATP-binding chain C,2
Anaerobutyricum hallii,transcriptional repressor CodY,1
Anaerobutyricum hallii,DNA-directed RNA polymerase subunit beta,2
Anaerobutyricum hallii,UDP-glucose 6-dehydrogenase,1
Lachnospiraceae bacterium GAM79,endopeptidase Clp ATP-binding chain C,3
Lachnospiraceae bacterium GAM79,ATP-dependent protease ATP-binding subunit ClpX,2
Lachnospiraceae bacterium GAM79,F0F1 ATP synthase subunit alpha,1
Lachnospiraceae bacterium GAM79,resolvase family site-specific recombinase,1
Lachnospiraceae bacterium GAM79,molecular chaperone DnaK,1
Lachnospiraceae bacterium GAM79,elongation factor Tu,1
Lachnospiraceae bacterium GAM79,hypothetical protein lmo2206,1
Lachnospiraceae bacterium GAM79,DNA-directed RNA polymerase subunit beta,1
Bacteroides stercoris,excinuclease ABC subunit A,2
Bacteroides stercoris,Holliday junction DNA helicase RuvB,1
Bacteroides stercoris,glutamate dehydrogenase,1
Bacteroides stercoris,glutamate synthase NADPH large chain,2
Bacteroides stercoris,dihydroxy-acid dehydratase,2
Bacteroides stercoris,endopeptidase Clp ATP-binding chain C,1
Bacteroides stercoris,gluconate 5-dehydrogenase,1
uncultured Bacteroides sp.,hypothetical protein lmo2206,1
uncultured Bacteroides sp.,dihydroxy-acid dehydratase,1
uncultured Bacteroides sp.,gluconate 5-dehydrogenase,1
uncultured Bacteroides sp.,recombinase A,1
uncultured Bacteroides sp.,"VI polysaccharide biosynthesis protein, epimerase",1
uncultured Bacteroides sp.,hypothetical protein SP_0939,2
uncultured Bacteroides sp.,UDP-N-acetylglucosamine 2-epimerase,1
uncultured Bacteroides sp.,glutamate synthase NADPH large chain,1
uncultured Bacteroides sp.,endopeptidase Clp ATP-binding chain C,1
Clostridium sporogenes,DNA-directed RNA polymerase subunit beta,2
Clostridium sporogenes,TDP-glucose pyrophosphorylase,1
Clostridium sporogenes,hypothetical protein,1
Clostridium sporogenes,formate acetyltransferase,3
Clostridium sporogenes,pyruvate kinase,2
Clostridium sporogenes,capsular polysaccharide biosynthesis protein Cps4J,1
Coprococcus phoceensis,DNA-directed RNA polymerase subunit beta,1
Coprococcus phoceensis,F0F1 ATP synthase subunit alpha,1
Coprococcus phoceensis,GTP-binding protein LepA,1
Coprococcus phoceensis,"type VII secretion system protein EssC, FtsK/SpoIIIE family ATPase",3
Coprococcus phoceensis,CTP synthetase,2
Coprococcus phoceensis,elongation factor Tu,2
Agathobaculum butyriciproducens,endopeptidase Clp ATP-binding chain C,1
Agathobaculum butyriciproducens,phosphoribosylformylglycinamide synthetase,1
Agathobaculum butyriciproducens,F0F1 ATP synthase subunit alpha,1
Agathobaculum butyriciproducens,resolvase family site-specific recombinase,1
Agathobaculum butyriciproducens,S-adenosylmethionine synthase,1
Agathobaculum butyriciproducens,putative ATP-binding component of a transport system,1
Agathobaculum butyriciproducens,ATP-dependent protease,1
Agathobaculum butyriciproducens,elongation factor Tu,1
Agathobaculum butyriciproducens,RNA polymerase sigma factor,2
uncultured Oscillibacter sp.,excinuclease ABC subunit A,4
uncultured Oscillibacter sp.,phosphoribosylformylglycinamide synthetase,1
uncultured Oscillibacter sp.,molecular chaperone DnaK,1
uncultured Oscillibacter sp.,RNA polymerase sigma factor,1
uncultured Oscillibacter sp.,recombinase A,1
uncultured Oscillibacter sp.,ATP-dependent protease,1
Roseburia inulinivorans,lysine decarboxylase,1
Roseburia inulinivorans,ATP-dependent protease ATP-binding subunit ClpX,1
Roseburia inulinivorans,molecular chaperone DnaK,1
Roseburia inulinivorans,excinuclease ABC subunit A,2
Roseburia inulinivorans,DNA excision repair protein subunit A,1
Roseburia inulinivorans,preprotein translocase subunit SecA,1
Roseburia inulinivorans,ATP-dependent protease,1
Roseburia inulinivorans,elongation factor Tu,1
bacterium LF-3,DNA-directed RNA polymerase subunit beta,1
bacterium LF-3,F0F1 ATP synthase subunit alpha,1
bacterium LF-3,RNA polymerase sigma factor,1
bacterium LF-3,glucose-1-phosphate thymidylyltransferase,1
bacterium LF-3,formate acetyltransferase,3
bacterium LF-3,elongation factor Tu,1
bacterium LF-3,UDP-glucose pyrophosphorylase,1
uncultured Collinsella sp.,preprotein translocase subunit SecA,1
uncultured Collinsella sp.,elongation factor Tu,1
uncultured Collinsella sp.,gluconate 5-dehydrogenase,1
uncultured Collinsella sp.,endopeptidase Clp ATP-binding chain C,1
uncultured Collinsella sp.,ATP-dependent protease ATP-binding subunit ClpX,3
uncultured Collinsella sp.,carbamoyl-phosphate synthase large subunit,1
Candidatus Cibiobacter qucibialis,ketol-acid reductoisomerase,1
Candidatus Cibiobacter qucibialis,gluconate 5-dehydrogenase,1
Candidatus Cibiobacter qucibialis,protein disaggregation chaperone,1
Candidatus Cibiobacter qucibialis,glucose-1-phosphate thymidylyltransferase,1
Candidatus Cibiobacter qucibialis,phosphoribosylformylglycinamide synthetase,1
Candidatus Cibiobacter qucibialis,ATP-dependent protease ATP-binding subunit ClpX,1
Candidatus Cibiobacter qucibialis,endopeptidase Clp ATP-binding chain C,1
Candidatus Cibiobacter qucibialis,TDP-glucose pyrophosphorylase,1
uncultured Erysipelotrichaceae bacterium,2-isopropylmalate synthase,1
uncultured Erysipelotrichaceae bacterium,leucyl-tRNA synthetase,1
uncultured Erysipelotrichaceae bacterium,hyaluronidase,1
uncultured Erysipelotrichaceae bacterium,carbamoyl phosphate synthase large subunit,1
uncultured Erysipelotrichaceae bacterium,GTP-binding protein LepA,1
uncultured Erysipelotrichaceae bacterium,DNA-directed RNA polymerase subunit beta,2
uncultured Erysipelotrichaceae bacterium,peptide chain release factor 3,1
Monoglobus pectinilyticus,elongation factor Tu,2
Monoglobus pectinilyticus,excinuclease ABC subunit A,1
Monoglobus pectinilyticus,F0F1 ATP synthase subunit alpha,1
Monoglobus pectinilyticus,ATP-dependent protease ATP-binding subunit ClpX,1
Monoglobus pectinilyticus,tryptophan synthase subunit beta,1
Monoglobus pectinilyticus,molecular chaperone DnaK,1
Monoglobus pectinilyticus,GMP synthase,1
Bacteroides salyersiae,molecular chaperone DnaK,1
Bacteroides salyersiae,GTP-binding protein LepA,1
Bacteroides salyersiae,catalase,1
Bacteroides salyersiae,gluconate 5-dehydrogenase,1
Bacteroides salyersiae,endopeptidase Clp ATP-binding chain C,3
Bacteroides salyersiae,malic enzyme,1
Candidatus Gastranaerophilales bacterium,endopeptidase Clp ATP-binding chain C,1
Candidatus Gastranaerophilales bacterium,elongation factor Tu,3
Candidatus Gastranaerophilales bacterium,putative ATP-binding component of a transport system,1
Candidatus Gastranaerophilales bacterium,CTP synthetase,1
Candidatus Gastranaerophilales bacterium,DNA-directed RNA polymerase subunit beta,1
Candidatus Gastranaerophilales bacterium,ATP-dependent protease ATP-binding subunit ClpX,1
Bilophila wadsworthia,carbamoyl phosphate synthase large subunit,1
Bilophila wadsworthia,"dTDP-glucose-4,6-dehydratase",2
Bilophila wadsworthia,ClpB protein,1
Bilophila wadsworthia,"dTDP-glucose 4,6 dehydratase",1
Bilophila wadsworthia,catalase,1
Bilophila wadsworthia,preprotein translocase subunit SecA,1
Parabacteroides merdae,elongation factor Tu,2
Parabacteroides merdae,glucose-1-phosphate thymidylyltransferase,1
Parabacteroides merdae,hypothetical protein lmo2206,1
Parabacteroides merdae,excinuclease ABC subunit A,1
Parabacteroides merdae,DNA-directed RNA polymerase subunit beta,2
Oscillibacter sp.,preprotein translocase subunit SecA,2
Oscillibacter sp.,hypothetical protein SP_0939,1
Oscillibacter sp.,excinuclease ABC subunit A,2
Oscillibacter sp.,phosphoketolase,2
Ruminococcaceae bacterium,elongation factor Tu,1
Ruminococcaceae bacterium,endopeptidase Clp ATP-binding chain C,1
Ruminococcaceae bacterium,serine hydroxymethyltransferase,1
Ruminococcaceae bacterium,formate--tetrahydrofolate ligase,1
Ruminococcaceae bacterium,ATP-dependent protease ATP-binding subunit ClpX,1
Ruminococcaceae bacterium,excinuclease ABC subunit A,1
Ruminococcaceae bacterium,UDP-N-acetylglucosamine 2-epimerase,1
uncultured Marvinbryantia sp.,gluconate 5-dehydrogenase,1
uncultured Marvinbryantia sp.,endopeptidase Clp ATP-binding chain C,1
uncultured Marvinbryantia sp.,recombinase A,1
uncultured Marvinbryantia sp.,TDP-4-oxo-6-deoxy-D-glucose transaminase,1
uncultured Marvinbryantia sp.,malic enzyme,1
uncultured Marvinbryantia sp.,sugar ABC transporter ATP-binding protein,1
uncultured Marvinbryantia sp.,carbamoyl phosphate synthase large subunit,1
Bacteroides dorei,dihydroxy-acid dehydratase,1
Bacteroides dorei,putative ABC transporter ATP-binding protein,1
Bacteroides dorei,B12-dependent methionine synthase,2
Bacteroides dorei,protein disaggregation chaperone,1
Bacteroides dorei,gluconate 5-dehydrogenase,1
Bacteroides dorei,recombinase A,1
Lactobacillus rogosae,mannosyl-transferase,1
Lactobacillus rogosae,lysine decarboxylase,1
Lactobacillus rogosae,formate--tetrahydrofolate ligase,1
Lactobacillus rogosae,molecular chaperone DnaK,1
Lactobacillus rogosae,ClpB protein,1
Lactobacillus rogosae,glutamate synthase NADPH large chain,1
[Ruminococcus] gnavus,phosphoribosylformylglycinamide synthetase,2
[Ruminococcus] gnavus,formate--tetrahydrofolate ligase,1
[Ruminococcus] gnavus,F0F1 ATP synthase subunit alpha,1
[Ruminococcus] gnavus,serine hydroxymethyltransferase,1
[Ruminococcus] gnavus,protein disaggregation chaperone,1
Klebsiella oxytoca,"bifunctional (p)ppGpp synthetase II/ guanosine-3',5'-bis pyrophosphate 3'-pyrophosphohydrolase",1
Klebsiella oxytoca,serine hydroxymethyltransferase,1
Klebsiella oxytoca,phosphoribosylamine--glycine ligase,1
Klebsiella oxytoca,50S ribosomal protein L20,1
Klebsiella oxytoca,phosphoglucomutase,1
Klebsiella oxytoca,Holliday junction DNA helicase ruvB,1
Dysosmobacter welbionis,endopeptidase Clp ATP-binding chain C,3
Dysosmobacter welbionis,excinuclease ABC subunit A,2
Dysosmobacter welbionis,molecular chaperone DnaK,1
Eubacterium ramulus,preprotein translocase subunit SecA,2
Eubacterium ramulus,hypothetical protein SPy_1633,1
Eubacterium ramulus,ATP-dependent protease ATP-binding subunit ClpX,2
Eubacterium ramulus,UDP-glucose 6-dehydrogenase,1
Ruthenibacterium lactatiformans,UDP-N-acetylglucosamine 2-epimerase,2
Ruthenibacterium lactatiformans,sugar ABC transporter ATP-binding protein,3
Ruthenibacterium lactatiformans,preprotein translocase subunit SecA,1
Bacteroides thetaiotaomicron,S-adenosylmethionine synthase,1
Bacteroides thetaiotaomicron,UDP-N-acetylglucosamine 2-epimerase,1
Bacteroides thetaiotaomicron,glutamate synthase NADPH large chain,1
Bacteroides thetaiotaomicron,capsular polysaccharide biosynthesis protein Cps4J,1
Bacteroides thetaiotaomicron,endopeptidase Clp ATP-binding chain C,1
Clostridiales bacterium VE202-03,putative ATP-binding component of a transport system,1
Clostridiales bacterium VE202-03,preprotein translocase subunit SecA,2
Clostridiales bacterium VE202-03,microcompartment protein,1
Clostridiales bacterium VE202-03,molecular chaperone DnaK,1
Clostridiales bacterium UBA4696,putative ATP-binding component of a transport system,1
Clostridiales bacterium UBA4696,endopeptidase Clp ATP-binding chain C,1
Clostridiales bacterium UBA4696,ClpB protein,1
Clostridiales bacterium UBA4696,serine hydroxymethyltransferase,1
Clostridiales bacterium UBA4696,DNA-directed RNA polymerase subunit beta,1
Oxalobacter formigenes,acetolactate synthase 3 catalytic subunit,1
Oxalobacter formigenes,3-isopropylmalate dehydrogenase,1
Oxalobacter formigenes,quinolinate synthetase,1
Oxalobacter formigenes,GMP synthase,2
Bacteroides cellulosilyticus,endopeptidase Clp ATP-binding chain C,1
Bacteroides cellulosilyticus,gluconate 5-dehydrogenase,2
Bacteroides cellulosilyticus,B12-dependent methionine synthase,2
Lawsonibacter asaccharolyticus,tryptophan synthase subunit beta,1
Lawsonibacter asaccharolyticus,phosphoribosylformylglycinamide synthetase,1
Lawsonibacter asaccharolyticus,RNA polymerase sigma factor,1
Lawsonibacter asaccharolyticus,RNA polymerase sigma factor SigB,1
Lawsonibacter asaccharolyticus,pyruvate kinase,1
Lactococcus lactis,leucyl-tRNA synthetase,1
Lactococcus lactis,CTP synthetase,1
Lactococcus lactis,phosphatidate cytidylyltransferase,1
Lactococcus lactis,ATP-dependent protease ATP-binding subunit ClpX,1
Lactococcus lactis,cysteine synthase,1
Megamonas rupellensis,molecular chaperone DnaK,1
Megamonas rupellensis,hypothetical protein SPy_1633,1
Megamonas rupellensis,DNA-directed RNA polymerase subunit beta,1
Megamonas rupellensis,excinuclease ABC subunit A,1
Megamonas rupellensis,elongation factor Tu,1
Dorea formicigenerans,glutamate synthase NADPH large chain,1
Dorea formicigenerans,DNA excision repair protein subunit A,1
Dorea formicigenerans,ATP-dependent protease ATP-binding subunit ClpX,1
Dorea formicigenerans,DNA-directed RNA polymerase subunit beta,1
Dorea formicigenerans,molecular chaperone DnaK,1
Phascolarctobacterium succinatutens,CTP synthetase,1
Phascolarctobacterium succinatutens,endopeptidase Clp ATP-binding chain C,1
Phascolarctobacterium succinatutens,formate--tetrahydrofolate ligase,1
Phascolarctobacterium succinatutens,excinuclease ABC subunit A,1
Phascolarctobacterium succinatutens,DNA polymerase III subunit alpha,1
Parabacteroides johnsonii,catalase,1
Parabacteroides johnsonii,glutamate dehydrogenase,1
Parabacteroides johnsonii,molecular chaperone DnaK,1
Parabacteroides johnsonii,UDP-N-acetylglucosamine 2-epimerase,1
Bifidobacterium bifidum,endopeptidase Clp ATP-binding chain C,1
Bifidobacterium bifidum,2-isopropylmalate synthase,1
Bifidobacterium bifidum,zinc metalloprotease,1
Bifidobacterium bifidum,DNA-directed RNA polymerase subunit beta,1
Phascolarctobacterium faecium,ATP-dependent protease ATP-binding subunit ClpX,3
Phascolarctobacterium faecium,endopeptidase Clp ATP-binding chain C,1
Coprococcus comes,F0F1 ATP synthase subunit alpha,1
Coprococcus comes,endopeptidase Clp ATP-binding chain C,1
Coprococcus comes,recombinase A,1
Coprococcus comes,protein disaggregation chaperone,1
Alistipes onderdonkii,DNA-directed RNA polymerase subunit beta,1
Alistipes onderdonkii,excinuclease ABC subunit A,1
Alistipes onderdonkii,molecular chaperone DnaK,1
Alistipes onderdonkii,catalase,1
uncultured Dialister sp.,resolvase family site-specific recombinase,2
uncultured Dialister sp.,"type I restriction-modification system, M subunit",2
Bacteroides xylanisolvens,glutamate dehydrogenase,1
Bacteroides xylanisolvens,protein disaggregation chaperone,1
Bacteroides xylanisolvens,endopeptidase Clp ATP-binding chain C,1
Bacteroides xylanisolvens,tryptophan synthase subunit beta,1
Bacteroides caccae CAG:21,"GDP-mannose 4,6-dehydratase",3
Bacteroides caccae CAG:21,malic enzyme,1
Intestinimonas massiliensis,hypothetical protein,1
Intestinimonas massiliensis,protein disaggregation chaperone,1
Intestinimonas massiliensis,GTP-binding protein LepA,1
Intestinimonas massiliensis,molecular chaperone DnaK,1
uncultured Solobacterium sp.,CTP synthetase,1
uncultured Solobacterium sp.,recombinase A,2
uncultured Solobacterium sp.,UDP-glucose 6-dehydrogenase,1
Firmicutes bacterium OM08-11AC,CTP synthetase,1
Firmicutes bacterium OM08-11AC,elongation factor Tu,1
Firmicutes bacterium OM08-11AC,F0F1 ATP synthase subunit alpha,1
Firmicutes bacterium OM08-11AC,carbamoyl phosphate synthase large subunit,1
Clostridiaceae bacterium AM27-36LB,microcompartment protein,1
Clostridiaceae bacterium AM27-36LB,excinuclease ABC subunit A,2
Clostridiaceae bacterium AM27-36LB,UDP-glucose 6-dehydrogenase,1
Alistipes communis,molecular chaperone DnaK,1
Alistipes communis,DNA-directed RNA polymerase subunit beta,1
Alistipes communis,glutamate dehydrogenase,2
Clostridiaceae bacterium OM08-6BH,ATP-dependent Clp protease proteolytic subunit,1
Clostridiaceae bacterium OM08-6BH,microcompartment protein,2
Acholeplasmatales bacterium,serine hydroxymethyltransferase,1
Acholeplasmatales bacterium,molecular chaperone DnaK,1
Acholeplasmatales bacterium,hypothetical protein lmo2206,1
Bacteroides finegoldii CAG:203,"GDP-mannose 4,6-dehydratase",1
Bacteroides finegoldii CAG:203,1-deoxy-D-xylulose-5-phosphate synthase,1
Bacteroides finegoldii CAG:203,GDP-D-mannose dehydratase,1
Tyzzerella nexilis,carbamoyl phosphate synthase large subunit,1
Tyzzerella nexilis,DNA-directed RNA polymerase subunit beta,1
Tyzzerella nexilis,UDP-N-acetylglucosamine-2-epimerase,1
uncultured Flavonifractor sp.,serine hydroxymethyltransferase,1
uncultured Flavonifractor sp.,DNA-directed RNA polymerase subunit beta,1
uncultured Flavonifractor sp.,hypothetical protein lmo2206,1
uncultured Rhodospirillaceae bacterium,excinuclease ABC subunit A,1
uncultured Rhodospirillaceae bacterium,chaperonin GroEL,2
[Clostridium] leptum,hypothetical protein,1
[Clostridium] leptum,DNA-directed RNA polymerase subunit beta,2
Eggerthella lenta,endopeptidase Clp ATP-binding chain C,1
Eggerthella lenta,formate--tetrahydrofolate ligase,1
Eggerthella lenta,excinuclease ABC subunit A,1
Bifidobacterium longum,ATP-dependent protease ATP-binding subunit ClpX,1
Bifidobacterium longum,excinuclease ABC subunit A,1
Bifidobacterium longum,carbamoyl phosphate synthase large subunit,1
Odoribacter splanchnicus,isopropylmalate isomerase large subunit,1
Odoribacter splanchnicus,dihydroxy-acid dehydratase,2
uncultured bacterium,protein disaggregation chaperone,2
uncultured bacterium,endopeptidase Clp ATP-binding chain C,1
Subdoligranulum variabile,UDP-glucose 6-dehydrogenase,1
Subdoligranulum variabile,UDP-N-acetylglucosamine-2-epimerase,1
Lachnospiraceae bacterium OF09-33XD,recombinase A,1
Lachnospiraceae bacterium OF09-33XD,DNA-directed RNA polymerase subunit beta,1
uncultured Dorea sp.,ATP-dependent protease ATP-binding subunit ClpX,1
uncultured Dorea sp.,transcriptional repressor CodY,1
Mediterraneibacter butyricigenes,CTP synthetase,1
Mediterraneibacter butyricigenes,capsular polysaccharide synthesis enzyme Cap8D,1
Romboutsia timonensis,elongation factor Tu,1
Romboutsia timonensis,recombinase A,1
Asaccharobacter celatus,carbamoyl phosphate synthase large subunit,1
Asaccharobacter celatus,ATP-dependent protease ATP-binding subunit ClpX,1
Bacteroides finegoldii,F0F1 ATP synthase subunit alpha,1
Bacteroides finegoldii,tryptophan synthase subunit beta,1
uncultured Alistipes sp.,alginate o-acetyltransferase AlgI,1
uncultured Alistipes sp.,excinuclease ABC subunit A,1
Methanobrevibacter smithii,excinuclease ABC subunit A,2
Turicibacter sanguinis,carbamoyl phosphate synthase large subunit,1
Turicibacter sanguinis,excinuclease ABC subunit A,1
Odoribacter laneus,UDP-N-acetylglucosamine-2-epimerase,2
Collinsella intestinalis,UDP-galactose-4-epimerase,1
Collinsella intestinalis,elongation factor Tu,1
Coprococcus catus,3-dehydroquinate dehydratase,1
Coprococcus catus,hypothetical protein SP_0939,1
Bacteroides cellulosilyticus CAG:158,B12-dependent methionine synthase,1
Bacteroides cellulosilyticus CAG:158,excinuclease ABC subunit A,1
Adlercreutzia equolifaciens,ATP-dependent protease ATP-binding subunit ClpX,2
Ruminococcaceae bacterium D16,excinuclease ABC subunit A,1
Ruminococcaceae bacterium D16,endopeptidase Clp ATP-binding chain C,1
Negativibacillus massiliensis,elongation factor Tu,2
Evtepia gabavorous,ATP-binding protein of ABC-transport system,1
Evtepia gabavorous,GTP binding translational elongation factor Tu and G family protein,1
Firmicutes bacterium CAG:83,hypothetical protein,1
Firmicutes bacterium CAG:83,ATP-dependent protease ATP-binding subunit ClpX,1
Clostridium phoceensis,ATP-dependent protease ATP-binding subunit ClpX,1
